Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1591893374.337073,10.0.2.15,54280,10.0.2.4,80,tcp,http,13.639252,131,493,SF,8,6,0,71,71,96,0,96,96,96,64,64,1,311,1,64,135,3764.0,5015,2785927043,333925119
1591893374.337563,10.0.2.15,54282,10.0.2.4,80,tcp,http,13.638764,132,493,SF,8,6,0,72,72,97,0,97,97,97,64,64,1,311,1,65,135,3764.0,5015,2292502331,2721493801
1591893374.338077,10.0.2.15,54284,10.0.2.4,80,tcp,http,13.638251,132,493,SF,8,6,0,73,73,98,0,98,98,98,64,64,1,311,1,65,135,3764.0,5015,2466842065,985887056
1591893374.3384151,10.0.2.15,54286,10.0.2.4,80,tcp,http,13.637836,132,493,SF,8,6,0,74,74,99,0,99,99,99,64,64,1,311,1,65,135,3764.0,5015,3403193693,3770062061
1591893374.338768,10.0.2.15,54288,10.0.2.4,80,tcp,http,13.637563,133,493,SF,8,6,0,75,75,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,3609410705,3968019187
1591893374.339247,10.0.2.15,54290,10.0.2.4,80,tcp,http,13.637085,133,493,SF,8,6,0,76,76,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,577279339,1409262386
1591893374.3398519,10.0.2.15,54292,10.0.2.4,80,tcp,http,13.636483,133,493,SF,8,6,0,77,77,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,1040906945,2725058771
1591893374.340219,10.0.2.15,54294,10.0.2.4,80,tcp,http,13.636117,132,493,SF,8,6,0,78,78,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,2853054794,363428035
1591893374.3405778,10.0.2.15,54296,10.0.2.4,80,tcp,http,13.635531,132,493,SF,8,6,0,79,79,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,1360013988,2696003593
1591893374.341024,10.0.2.15,54298,10.0.2.4,80,tcp,http,13.635314,133,493,SF,8,6,0,80,80,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,2668550685,4097881401
